variant,criterion,seed_count,mean,between_seed_sd,between_seed_se,ci_lower,ci_upper,seed_min,seed_max
M2,max_abs_return_acf,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M2,mean_log_variance_acf,5,0.53125,0.036225072248030094,0.01620034480728728,0.48627063195729076,0.5762293680427093,0.484375,0.578125
M2,rough_hurst,5,0.08125,0.01620034480728728,0.0072450144496060175,0.06113461509430409,0.10136538490569591,0.0625,0.1015625
M2,leverage_rank,5,0.3421875,0.19821284034624245,0.08864347700550221,0.09607375216036021,0.5883012478396398,0.1796875,0.625
M2,zumbach_rank,5,0.503125,0.22572582580976416,0.10094765815758183,0.22284936862720184,0.7834006313727983,0.2734375,0.875
M2,excess_kurtosis,5,0.90625,0.016572815184059706,0.007411588266019638,0.8856721320370684,0.9268278679629316,0.890625,0.9296875
M2,taylor_gap,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M3,max_abs_return_acf,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M3,mean_log_variance_acf,5,0.5390625,0.03221176270013797,0.014405538214520135,0.4990663139365558,0.5790586860634442,0.5,0.578125
M3,rough_hurst,5,0.08125,0.025073135212314395,0.01121304694875572,0.05011759068477413,0.11238240931522588,0.0625,0.125
M3,leverage_rank,5,0.3546875,0.1937121938921244,0.08663072672268195,0.11416204283108203,0.595212957168918,0.1875,0.640625
M3,zumbach_rank,5,0.484375,0.19764235376052372,0.08838834764831845,0.23896960481530535,0.7297803951846946,0.3125,0.8046875
M3,excess_kurtosis,5,0.9015625,0.018814991529362963,0.008414320011147662,0.8782006023914812,0.9249243976085189,0.8828125,0.921875
M3,taylor_gap,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M2+O,max_abs_return_acf,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M2+O,mean_log_variance_acf,5,0.5703125,0.061017575593020734,0.02728788936964528,0.49454917312846947,0.6460758268715305,0.515625,0.640625
M2+O,rough_hurst,5,0.178125,0.010186253758129139,0.0045554311678478905,0.16547709543196326,0.19077290456803675,0.1640625,0.1875
M2+O,leverage_rank,5,0.296875,0.16964102148912863,0.07586577116443884,0.08623785099843789,0.5075121490015622,0.140625,0.5
M2+O,zumbach_rank,5,0.4625,0.09654050113488638,0.043174224623900304,0.342629135372262,0.582370864627738,0.328125,0.5859375
M2+O,excess_kurtosis,5,0.91875,0.020372507516258277,0.009110862335695781,0.8934541908639264,0.9440458091360735,0.90625,0.953125
M2+O,taylor_gap,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M4,max_abs_return_acf,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M4,mean_log_variance_acf,5,0.5796875,0.06332463790362326,0.028319639000612278,0.5010595769157815,0.6583154230842185,0.5234375,0.6484375
M4,rough_hurst,5,0.1671875,0.021819125068388973,0.009757809372497497,0.14009547793027616,0.19427952206972382,0.1484375,0.203125
M4,leverage_rank,5,0.2953125,0.17358875724143255,0.0776312522643104,0.07977358964038023,0.5108514103596198,0.1171875,0.484375
M4,zumbach_rank,5,0.4265625,0.09968211192335362,0.044579195680272195,0.30279081035985367,0.5503341896401464,0.2578125,0.5078125
M4,excess_kurtosis,5,0.9171875,0.021108212634541088,0.009439879666870758,0.8909781923052605,0.9433968076947395,0.890625,0.9453125
M4,taylor_gap,5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
