candidate_id,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,spike_shift,orthogonal_curvature,echo_loading,cap_level,cap_sharpness
0,0.2333221411332488,0.0694007444800809,2.9358963377773764,0.24959932155907155,0.1,0.0,0.0,6.073741978500038,7.956517500802875
1,0.20320187931880354,0.09449635503254832,3.2538161791861056,0.1942336436547339,0.4646049217414111,0.0,0.0,6.079945530276746,9.170766860246658
2,0.284349265396595,0.07301145694963634,2.972212085686624,0.35908212637528775,0.12074260695837438,0.0,0.0,6.478342566639185,6.151146825402975
3,0.3054258317872882,0.08377041834592819,3.4165469251573084,0.21951365597546102,0.24166625424288216,0.0,0.0,6.692519515752792,8.49676850065589
4,0.24233493791893124,0.06195290949195624,2.573153289221227,0.2753087915107608,0.3440539584588259,0.0,0.0,5.590997479390353,7.445966124534607
5,0.22905782029032706,0.08618178005702794,2.812730195187032,0.27921826113015413,0.4065384615398943,0.0,0.0,6.0038886605761945,8.914759676903486
6,0.2921583326719701,0.0656788562182337,3.1573161624372004,0.22253689676523208,0.1881216691993177,0.0,0.0,6.355411512777209,7.90300552546978
7,0.2623048594780266,0.09616619070246817,2.7168854868039487,0.3070478616468608,0.055727258231490856,0.0,0.0,6.979514243081212,9.744978442788124
8,0.18116708930581807,0.07599203304573894,3.4973015405237673,0.14308561759069563,0.5385604316927493,0.0,0.0,5.831116390880197,6.7019046656787395
9,0.19373053619638084,0.07947245002910495,2.763045344687998,0.24077706897631287,0.15003810254856945,0.0,0.0,5.678455479443073,8.566869579255581
10,0.25750502485781906,0.05929876958206296,3.482395489886403,0.2952840623818338,0.443613288719207,0.0,0.0,6.780057638417929,7.609751883894205
11,0.2971333546191454,0.08975037866272033,2.9228243792429565,0.1596355725079775,0.30922589989379046,0.0,0.0,6.572519827168435,9.771561000496149
12,0.21639612374827266,0.06924665092118085,3.078475785627961,0.32491465818136933,0.28405110506340864,0.0,0.0,6.174042668193579,6.783262960612774
13,0.23838530633598565,0.09857684039324523,3.307402831688523,0.34249356139451265,0.2110977419372648,0.0,0.0,5.742840180173516,9.314522583037615
14,0.3191129192151129,0.07676013419032097,2.6510511899366973,0.17638195782899857,0.37524296226911247,0.0,0.0,6.891318132635206,6.365270800888538
15,0.27076042814180257,0.08756507630459964,3.2067143220454453,0.25708036405965684,0.4981600737851113,0.0,0.0,6.250322268810123,8.016110755503178
16,0.20697632305324076,0.06607969976030291,2.988067750073969,0.2034058983810246,0.08855525991879404,0.0,0.0,5.8987193163484335,7.035541284829378
17,0.21077975558117032,0.08853155367262662,3.4440538400784133,0.31784335808828473,0.33614394380711016,0.0,0.0,6.817229622974992,6.005456272512674
18,0.2745627881214023,0.06834841977991164,2.787730810418725,0.15290672881528736,0.24919592450372877,0.0,0.0,5.715627377387136,9.048392973840237
19,0.3153447470068932,0.09893313007429243,3.1012084076181052,0.2890352073311806,0.11320514331571757,0.0,0.0,5.9317954196594656,7.335919253528118
20,0.2346160621009767,0.0784186671487987,2.8825294125825165,0.23332648742944,0.4725071658100933,0.0,0.0,6.330272665247321,8.34753629937768
21,0.22132746692746877,0.09207035929523409,2.6264114428311585,0.20882223021239044,0.5310229756496847,0.0,0.0,6.764427326619625,7.753895111382008
22,0.3020636257715523,0.07024387921206654,3.3457291612401603,0.2653634680062532,0.06362949470058084,0.0,0.0,5.61594946635887,8.80459089949727
23,0.2525405492447317,0.08110021141171456,3.0283475194126366,0.18428578114137054,0.18021164694800973,0.0,0.0,6.242409858386964,6.579652655869722
24,0.1887649880349636,0.05960377924889326,3.184027534164488,0.3483898826874793,0.41406813940033316,0.0,0.0,6.594012718647718,9.599166132509708
25,0.18614838121458888,0.0958252956494689,2.949533849209547,0.2540242870338261,0.2765226507373154,0.0,0.0,6.415533223655075,7.733591612428427
26,0.2672872234135866,0.0743283793926239,3.294087397120893,0.19960543854162097,0.3171366441063583,0.0,0.0,6.0171360950917006,8.714023977518082
27,0.2872101565077901,0.08522044341079892,2.6114710636436937,0.3386872056126594,0.4357103150896728,0.0,0.0,5.812001364305615,6.934935569763184
28,0.22411071667447685,0.06339476159773767,3.39191573318094,0.17332170594483615,0.15757435025647282,0.0,0.0,6.91352349286899,9.884050276130438
29,0.24611992172896863,0.08215802655741572,3.117029750905931,0.16259430419653656,0.080652293888852,0.0,0.0,6.5035394239239395,6.477881953120232
30,0.30921188814565537,0.06164276411011815,2.835454262048006,0.3288460326939821,0.5056963138934225,0.0,0.0,6.152016658335924,9.46607343479991
31,0.2805290045775473,0.09218149008788168,3.521978454850614,0.24470763539895415,0.36771450034342706,0.0,0.0,5.5130580216646194,7.182817470282316
32,0.19938269052654503,0.07199883903749288,2.6785523883998392,0.2982402452267706,0.21900849374942483,0.0,0.0,6.661455787252635,8.139828577637672
33,0.20129261003807186,0.08322271340526641,2.9000723587349055,0.3506944231316447,0.5421113060042263,0.0,0.0,6.939204826951027,7.2924241460859776
34,0.2775085039064288,0.06271081458218396,3.0564247157424687,0.18543551184237003,0.043356356099247935,0.0,0.0,5.790716148447245,8.280679784715176
35,0.3078915932774544,0.09390571178123355,2.739043012447655,0.26951769238337875,0.1915491033345461,0.0,0.0,6.044191997032613,6.1182722970843315
36,0.2486192071996629,0.07372001503780484,3.4576883923262356,0.21499059015884997,0.3940441648289561,0.0,0.0,6.395805675536394,9.075225446373224
37,0.22660150703042745,0.09672863633744419,3.2333697985857723,0.2326500450260937,0.3564168658200651,0.0,0.0,6.640263395383954,6.544046349823475
38,0.285864277202636,0.07522964132390916,3.014020368643105,0.28629092169925574,0.2381075675506145,0.0,0.0,5.5386490798555315,9.524420816451311
39,0.26422391494736075,0.086778191678226,3.3274979081004856,0.14715125858783723,0.13322921288199724,0.0,0.0,6.132196286227554,7.874477852135897
40,0.1879984025657177,0.06495427569746971,2.6718453096225856,0.313296411819756,0.461169857615605,0.0,0.0,6.530685601755977,8.823656655848026
41,0.19181131539866328,0.09034598356485368,3.406341853737831,0.3045327965542674,0.0999272716511041,0.0,0.0,6.303128096740693,6.939292129129171
42,0.25067354626953603,0.06852286710590125,2.5617551712319253,0.24871749974787236,0.49360982269980014,0.0,0.0,5.9516174010932446,9.990045338869095
43,0.2995898332074285,0.08003537068329752,3.2482794180512427,0.3298447132669389,0.386740557262674,0.0,0.0,5.690040431916714,7.644259095191956
44,0.22269034454599024,0.058535892827436334,2.9678645564243196,0.16501635247841479,0.20667311971075833,0.0,0.0,6.838426127564162,8.663707997649908
45,0.23591904155910015,0.08697395678237081,2.7231909168884156,0.16884524093940856,0.28860892534255983,0.0,0.0,6.613744379486889,7.195062801241875
46,0.3128281466476619,0.0667887441329658,3.50479429513216,0.3328410871140659,0.2978616397455334,0.0,0.0,6.215358069166541,8.237934868782759
47,0.2726702007092535,0.09802994091995061,2.822178026847541,0.19676381289958955,0.44804578412324186,0.0,0.0,5.637236291542649,6.396316181868315
48,0.21381758783012628,0.07751724382676184,3.165572854876518,0.2534116407111287,0.13854844152927398,0.0,0.0,6.738747601862997,9.407990708947182
49,0.20886914437636733,0.09964233474247158,2.5864330932497976,0.1440876301005483,0.4176424280554056,0.0,0.0,6.2011858089827,8.375224739313126
50,0.2677228292822838,0.0778273874875158,3.3680078668519853,0.30947329103946686,0.16783313762396576,0.0,0.0,6.5526964124292135,7.425908382982016
51,0.31780970584601165,0.08928882344812156,2.9275771260261534,0.2288260669820011,0.06708008479326963,0.0,0.0,6.805646011605859,9.205412056297064
52,0.2409016733057797,0.06780136001110078,3.2710043845698236,0.28322479354217645,0.5185208437591792,0.0,0.0,5.657260408159345,6.224900007247925
53,0.218869815915823,0.0803762674573809,3.5431130884215234,0.27247055107727647,0.4848936091084033,0.0,0.0,5.878989088814706,9.63117090985179
54,0.29577037712559107,0.06019954444654286,2.69855882525444,0.21890433913096785,0.10963872783817352,0.0,0.0,6.277375485748053,6.674110695719719
55,0.2544587978906929,0.09130732224509121,3.1428936107084153,0.3546023318916559,0.26170580797828735,0.0,0.0,6.870029874145985,8.957263126969337
56,0.1955976390466094,0.07080696000531317,2.8624501332640646,0.18838413994759323,0.3327009229082614,0.0,0.0,5.768518477212638,7.968900453299284
57,0.18423049816861747,0.0844582118280232,3.0967034699395297,0.20756350714713334,0.23038835586048664,0.0,0.0,5.565314712002873,9.854118786752224
